Area Code (FAO),Year,population,yield,harvested,Value
4,1972,14439.748,6701,2471160.0,1655854.0
4,1973,14786.469,4934,2346900.0,1158077.0
4,1974,15153.602,4957,2200950.0,1091111.0
4,1975,15724.692,8313,2222780.0,1847793.0
4,1976,16500.516,7101,2295100.0,1629687.0
4,1977,17134.192,4337,1907170.0,827123.0
4,1978,17632.645,5809,1864300.0,1083019.0
4,1979,18166.981,5553,1945510.0,1080435.0
4,1980,18739.378,7297,2071250.0,1511426.0
4,1981,19351.357,6720,1813170.0,1218380.0
4,1982,20000.096,5965,1637900.0,977070.0
4,1983,20682.111,5635,1401500.0,789786.0
4,1984,21393.53,5730,1547000.0,886469.0
4,1985,22132.905,8861,1667990.0,1478018.0
4,1986,22882.553,8084,1520000.0,1228800.0
4,1987,23586.101,7777,1510600.0,1174800.0
4,1988,24243.018,6006,1023090.0,614420.0
4,1989,24889.507,7821,1473000.0,1152100.0
4,1990,25518.074,6315,1187820.0,750080.0
4,1991,26133.905,10809,1729440.0,1869400.0
4,1992,26748.303,9939,1848010.0,1836750.0
4,1993,27354.327,8097,1255420.0,1016500.0
4,1994,27937.006,7999,892600.0,713964.0
4,1995,28478.022,8924,1680720.0,1499920.0
4,1996,28984.634,13090,2278500.0,2982604.0
4,1997,29476.031,8016,825240.0,661514.0
4,1998,29924.668,8847,2577150.0,2280000.0
4,1999,30346.083,10711,1372400.0,1470000.0
4,2000,30774.621,9194,827000.0,760361.0
4,2001,31200.985,11104,1836410.0,2039213.0
4,2002,31624.696,10739,1398460.0,1501803.0
4,2003,32055.883,14480,2047570.0,2964852.0
4,2004,32510.186,13582,2010600.0,2730700.0
4,2005,32956.69,15057,1603744.0,2414728.0
4,2006,33435.08,15068,1783825.0,2687930.0
4,2007,33983.827,12742,1819877.0,2318963.0
4,2008,34569.592,11038,1006571.0,1111033.0
4,2009,35196.037,15975,1848575.0,2953117.0
4,2010,35856.344,14838,1755728.0,2605178.0
4,2011,36543.541,17405,1672431.0,2910890.0
4,2012,37260.563,17639,1945776.0,3432231.0
4,2013,38000.626,19100,1727242.0,3299049.0
4,2014,38760.168,14753,1651311.0,2436197.0
4,2015,39543.154,14640,1814722.0,2656731.0
4,2016,40339.329,11833,2062179.0,2440097.0
4,2017,41136.546,11501,2118469.0,2436503.0
4,2018,41927.007,20433,1948402.0,3981219.0
4,2019,42705.368,19630,1974987.0,3876876.0
4,2020,43451.666,16811,1848083.0,3106754.0
7,1961,5441.333,11111,18000.0,20000.0
7,1962,5521.4,11111,18000.0,20000.0
7,1963,5599.827,11111,18000.0,20000.0
7,1964,5673.199,9286,14000.0,13000.0
7,1965,5736.582,11111,18000.0,20000.0
7,1966,5787.044,11000,20000.0,22000.0
7,1967,5827.503,13500,20000.0,27000.0
7,1968,5868.203,13500,20000.0,27000.0
7,1969,5928.386,9430,15000.0,14145.0
7,1970,6029.7,8546,14000.0,11965.0
7,1971,6177.049,9130,14000.0,12782.0
7,1972,6364.731,11592,13000.0,15070.0
7,1973,6578.23,8867,13000.0,11527.0
7,1974,6802.494,13065,13000.0,16985.0
7,1975,7032.713,10000,13000.0,13000.0
7,1976,7266.78,10000,13000.0,13000.0
7,1977,7511.895,7692,13000.0,10000.0
7,1978,7771.59,5882,17000.0,10000.0
7,1979,8043.218,5333,15000.0,8000.0
7,1980,8330.047,5833,12000.0,7000.0
7,1981,8631.457,6316,9500.0,6000.0
7,1982,8947.152,6250,8000.0,5000.0
7,1983,9276.707,6250,6400.0,4000.0
7,1984,9617.702,6250,4800.0,3000.0
7,1985,9970.621,6250,4800.0,3000.0
7,1986,10332.574,8000,3000.0,2400.0
7,1987,10694.057,8000,3000.0,2400.0
7,1988,11060.261,8000,3000.0,2400.0
7,1989,11439.498,8000,3000.0,2400.0
7,1990,11828.638,7995,3127.0,2500.0
7,1991,12228.691,8000,3200.0,2560.0
7,1992,12632.507,8000,3500.0,2800.0
7,1993,13038.27,8863,3385.0,3000.0
7,1994,13462.031,10000,3000.0,3000.0
7,1995,13912.253,11865,4214.0,5000.0
7,1996,14383.35,13757,3806.0,5236.0
7,1997,14871.146,15528,3544.0,5503.0
7,1998,15366.864,17143,3500.0,6000.0
7,1999,15870.753,17391,2300.0,4000.0
7,2000,16394.062,17029,2349.0,4000.0
7,2001,16941.587,16667,2400.0,4000.0
7,2002,17516.139,15486,2583.0,4000.0
7,2003,18124.342,13877,2837.0,3937.0
7,2004,18771.125,12413,3175.0,3941.0
7,2005,19450.959,10861,3683.0,4000.0
7,2006,20162.34,10000,4000.0,4000.0
7,2007,20909.684,10000,4000.0,4000.0
7,2008,21691.522,10000,4000.0,4000.0
7,2009,22507.674,10000,4000.0,4000.0
7,2010,23364.185,10526,3800.0,4000.0
7,2011,24259.111,10959,3650.0,4000.0
7,2012,25188.292,11294,3400.0,3840.0
7,2013,26147.002,9398,3420.0,3214.0
7,2014,27128.337,7797,3700.0,2885.0
7,2015,28127.721,10057,2961.0,2978.0
7,2016,29154.746,8830,3360.0,2967.0
7,2017,30208.628,8811,3340.0,2943.0
7,2018,31273.533,9202,3220.0,2963.0
7,2019,32353.588,8945,3307.0,2958.0
7,2020,33428.486,8984,3289.0,2955.0
9,1961,20680.653,12950,4420900.0,5725000.0
9,1962,21020.359,15222,3744700.0,5700000.0
9,1963,21364.017,15751,5676000.0,8940000.0
9,1964,21708.487,18353,6135400.0,11260000.0
9,1965,22053.661,13212,4601200.0,6079000.0
9,1966,22403.116,11982,5213600.0,6247000.0
9,1967,22757.014,12595,5811600.0,7320000.0
9,1968,23112.971,9833,5837200.0,5740000.0
9,1969,23472.028,13523,5191300.0,7020000.0
9,1970,23842.803,13294,3700800.0,4920000.0
9,1971,24223.379,12667,4294640.0,5440000.0
9,1972,24612.794,15911,4965100.0,7900000.0
9,1973,25020.588,16574,3957900.0,6560000.0
9,1974,25449.754,14103,4233000.0,5970000.0
9,1975,25875.558,16260,5270600.0,8570000.0
9,1976,26290.257,17045,6794900.0,11582000.0
9,1977,26713.78,13612,4153000.0,5653100.0
9,1978,27146.121,17396,4868600.0,8469400.0
9,1979,27584.134,16934,4911800.0,8317800.0
9,1980,28024.803,15596,5113400.0,7974700.0
9,1981,28471.285,14014,5972300.0,8369600.0
9,1982,28922.762,20501,7364200.0,15097700.0
9,1983,29377.137,18405,7123800.0,13111400.0
9,1984,29832.197,23068,5929800.0,13678600.0
9,1985,30287.112,16177,5404300.0,8742800.0
9,1986,30748.326,17819,4914100.0,8756500.0
9,1987,31216.453,18847,4828900.0,9101200.0
